cv_index,recommended_job_title,similarity_score
1,Database Administrator,36.92
1,Intern,36.92
1,Tourism development strategist,35.17
1,"Interactive producer, User Experience Design",35.17
1,Project Manager,35.17
2,"Data Scientist, Co-Op",65.84
2,Machine Learning Scientist,65.84
2,"Python/Data Visualization Developer, Internship",65.84
2,Adjunct Faculty,54.88
2,IT Project Manager,54.88
3,Technology Analyst Summer Intern,50.01
3,Student Researcher,50.01
3,Python Developer,50.01
3,Machine Learning Scientist,48.09
3,"Data Scientist, Co-Op",48.09
4,"Data Scientist, Co-Op",65.84
4,Machine Learning Scientist,65.84
4,"Python/Data Visualization Developer, Internship",65.84
4,Adjunct Faculty,54.88
4,IT Project Manager,54.88
